iter	Passed	Remaining
1028	16176	15265
1029	16191	15248
1030	16206	15231
1031	16222	15216
1032	16239	15201
1033	16255	15186
1034	16272	15172
1035	16288	15156
1036	16304	15141
1037	16320	15125
1038	16336	15110
1039	16351	15093
1040	16368	15079
1041	16384	15063
1042	16398	15046
1043	16414	15030
1044	16430	15015
1045	16444	14998
1046	16461	14983
1047	16478	14968
1048	16494	14953
1049	16509	14936
1050	16523	14919
1051	16539	14904
1052	16555	14889
1053	16573	14875
1054	16589	14859
1055	16604	14843
1056	16620	14828
1057	16637	14813
1058	16652	14797
1059	16670	14783
1060	16685	14767
1061	16701	14751
1062	16716	14735
1063	16732	14719
1064	16748	14703
1065	16763	14687
1066	16780	14673
1067	16797	14658
1068	16813	14643
1069	16830	14627
1070	16845	14611
1071	16861	14596
1072	16880	14583
1073	16895	14567
1074	16911	14551
1075	16927	14536
1076	16943	14520
1077	16958	14504
1078	16973	14488
1079	16991	14474
1080	17007	14459
1081	17023	14443
1082	17040	14428
1083	17056	14413
1084	17071	14396
1085	17088	14382
1086	17104	14366
1087	17119	14350
1088	17134	14334
1089	17150	14318
1090	17167	14303
1091	17183	14288
1092	17201	14273
1093	17216	14258
1094	17232	14242
1095	17246	14225
1096	17262	14209
1097	17279	14194
1098	17295	14179
1099	17313	14165
1100	17328	14149
1101	17344	14133
1102	17361	14118
1103	17377	14103
1104	17392	14087
1105	17409	14072
1106	17425	14056
1107	17441	14041
1108	17458	14026
1109	17473	14010
1110	17490	13995
1111	17505	13979
1112	17522	13964
1113	17539	13949
1114	17556	13934
1115	17570	13918
1116	17587	13902
1117	17601	13886
1118	17618	13871
1119	17634	13855
1120	17650	13840
1121	17666	13824
1122	17682	13809
1123	17697	13792
1124	17715	13778
1125	17731	13762
1126	17746	13746
1127	17762	13731
1128	17778	13715
1129	17794	13700
1130	17811	13685
1131	17829	13671
1132	17844	13654
1133	17859	13638
1134	17875	13623
1135	17892	13608
1136	17907	13592
1137	17924	13577
1138	17941	13562
1139	17957	13546
1140	17973	13531
1141	17988	13514
1142	18004	13499
1143	18021	13484
1144	18038	13470
1145	18052	13452
1146	18067	13436
1147	18083	13420
1148	18098	13404
1149	18113	13388
1150	18127	13371
1151	18145	13357
1152	18160	13340
1153	18176	13325
1154	18193	13310
1155	18207	13293
1156	18223	13277
1157	18239	13262
1158	18255	13246
1159	18272	13231
1160	18287	13215
1161	18303	13200
1162	18319	13184
1163	18334	13168
1164	18352	13153
1165	18368	13138
1166	18385	13123
1167	18401	13107
1168	18417	13092
1169	18434	13077
1170	18450	13062
1171	18467	13046
1172	18482	13030
1173	18496	13013
1174	18511	12997
1175	18527	12982
1176	18544	12967
1177	18562	12952
1178	18578	12937
1179	18593	12920
1180	18609	12905
1181	18625	12890
1182	18642	12874
1183	18659	12859
1184	18675	12844
1185	18689	12827
1186	18705	12812
1187	18722	12796
1188	18738	12781
1189	18754	12765
1190	18772	12751
1191	18788	12735
1192	18804	12720
1193	18821	12705
1194	18836	12689
1195	18852	12673
1196	18869	12658
1197	18884	12641
1198	18900	12626
1199	18917	12611
1200	18933	12596
1201	18949	12580
1202	18965	12565
1203	18983	12550
1204	18998	12534
1205	19013	12518
1206	19030	12503
1207	19045	12486
1208	19060	12470
1209	19077	12455
1210	19093	12439
1211	19108	12423
1212	19124	12407
1213	19138	12391
1214	19154	12375
1215	19170	12359
1216	19186	12344
1217	19202	12328
1218	19217	12312
1219	19233	12296
1220	19248	12280
1221	19264	12265
1222	19281	12250
1223	19297	12234
1224	19313	12218
1225	19329	12203
1226	19345	12187
1227	19361	12172
1228	19378	12156
1229	19394	12141
1230	19409	12124
1231	19425	12109
1232	19440	12093
1233	19457	12078
1234	19473	12062
1235	19490	12047
1236	19506	12031
1237	19523	12016
1238	19539	12001
1239	19554	11985
1240	19571	11969
1241	19585	11953
1242	19603	11938
1243	19619	11923
1244	19634	11906
1245	19650	11891
1246	19666	11875
1247	19683	11860
1248	19699	11845
1249	19714	11828
1250	19728	11811
1251	19745	11796
1252	19760	11780
1253	19775	11764
1254	19792	11749
1255	19810	11734
1256	19826	11719
1257	19842	11703
1258	19858	11687
1259	19874	11672
1260	19891	11657
1261	19908	11642
1262	19924	11626
1263	19940	11610
1264	19956	11595
1265	19972	11579
1266	19988	11563
1267	20003	11547
1268	20020	11532
1269	20036	11516
1270	20050	11500
1271	20066	11484
1272	20082	11468
1273	20098	11453
1274	20115	11438
1275	20131	11422
1276	20146	11406
1277	20163	11391
1278	20178	11374
1279	20194	11359
1280	20210	11343
1281	20228	11329
1282	20244	11313
1283	20259	11297
1284	20275	11281
1285	20290	11265
1286	20306	11250
1287	20324	11235
1288	20340	11219
1289	20356	11203
1290	20372	11188
1291	20387	11172
1292	20401	11155
1293	20418	11140
1294	20433	11124
1295	20449	11108
1296	20466	11093
1297	20482	11077
1298	20497	11061
1299	20514	11046
1300	20532	11031
1301	20547	11015
1302	20563	10999
1303	20579	10983
1304	20595	10968
